Time,T1,T2,Q1,Q2,SP1,SP2
386.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
388.02,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
389.05,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
391.03,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
392.04,42.2213,39.965199999999996,31.114800000000002,100,50.0,40.0
394.03,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
395.0,42.2213,40.287499999999994,31.114800000000002,100,50.0,40.0
396.0,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
397.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
398.05,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
400.01,42.2213,40.287499999999994,31.114800000000002,0,50.0,40.0
